Rank;Tier;Username;Join Date;Gold Medals;Silver Medals;Bronze Medals;Points
2632;expert;Steven Nguyen;2017;0;7;4;3192
2633;expert;gyugyugyu;2018;0;2;0;3190
2634;master;databatman;2017;1;3;1;3189
2635;expert;wangyuxin;2017;0;1;2;3188
2636;master;mykper;2018;2;1;0;3188
2637;expert;Lu Guo;2017;0;2;0;3184
2638;master;MichaelP;2016;1;7;1;3180
2639;expert;Idrissa;2018;0;0;3;3179
2640;expert;HAN CHEN;2018;0;4;1;3177
2641;expert;Mukesh;2015;0;0;2;3175
2642;master;Alex Shvets;2017;3;4;4;3173
2643;expert;seikichi;2013;0;2;1;3169
2644;expert;delai50;2018;0;1;3;3169
2645;master;Paradox;2017;1;2;0;3167
2646;expert;Naman Tuli;2020;0;2;2;3167
2647;expert;David Young;2019;0;0;4;3164
2648;expert;Jovan Drenovcanin;2018;0;2;0;3162
2649;grandmaster;Victor;2012;6;6;5;3159
2650;expert;Dmitry Kulagin;2016;0;8;3;3159
2651;expert;Ray Zhao;2018;0;2;2;3154
2652;expert;m.hirakawa;2020;0;1;1;3151
2653;expert;BUGLITTLEPRINCE;2020;0;2;2;3151
2654;expert;Mingguang Chen;2021;0;0;2;3147
2655;expert;lyu;2021;0;1;1;3146
2656;expert;Dmitrii Krasnov;2018;0;2;0;3143
2657;expert;Shixing Han;2018;1;1;1;3140
2658;expert;anyai;2019;0;1;2;3138
2659;expert;benbenbo;2021;0;2;0;3137
2660;expert;Atikur Rahman;2013;0;3;1;3136
2661;master;Yuki Kubo;2019;1;4;0;3133
2662;expert;Igor Samenko;2016;0;2;6;3132
2663;expert;Srikanth Sankaran Iyer;2013;0;2;5;3131
2664;master;lytic;2016;3;2;0;3130
2665;expert;Alex Kaechele;2018;0;2;0;3130
2666;expert;Param1;2016;0;1;2;3127
2667;expert;DN;2019;0;2;2;3125
2668;expert;Märchen Star;2021;0;1;1;3125
2669;master;Yashwanth Reddy;2013;1;4;5;3124
2670;master;Shubin;2014;2;12;6;3124
2671;expert;Dezs? Ribli;2016;0;4;2;3124
2672;expert;Atharva Phatak;2018;0;1;3;3121
2673;grandmaster;Plankton;2015;5;3;4;3115
2674;expert;Naomichi Agata;2017;0;3;0;3114
2675;expert;ethan.cheng;2018;0;2;1;3113
2676;expert;Bracket Hacker;2016;0;0;2;3112
2677;expert;Maunish dave;2019;0;1;1;3112
2678;expert;tengguolong;2019;0;1;1;3109
2679;master;GaoYL;2016;1;3;1;3107
2680;expert;soomiles;2018;0;1;3;3106
2681;expert;KrisztianSz;2018;0;2;0;3106
2682;expert;alexcruz;2019;0;0;2;3106
2683;expert;gh;2013;0;5;7;3104
2684;master;Rishabh Tiwari;2019;1;2;1;3104
2685;expert;Svitlana Tarasenko;2019;0;1;2;3103
2686;expert;asteriam;2019;0;3;1;3101
2687;master;LuEE;2016;1;2;2;3100
2688;master;Liuftvafas;2011;1;4;2;3098
2689;expert;universe321;2018;0;2;1;3097
2690;expert;Igor Popovic;2019;0;1;3;3095
2691;expert;skawaguc;2018;0;2;0;3092
2692;expert;alex;2019;0;1;1;3092
2693;master;Adri;2017;1;3;0;3090
